,DP_splits,DP_moms_splits,cdcl_splits,cdcl_moms_splits,cdcl_chron_splits,cdcl_chron_moms_splits,sudoku_given_clauses,DP_list_sat_clauses,DP_moms_list_sat_clauses,cdcl_list_sat_clauses,cdcl_moms_list_sat_clauses,cdcl_chron_list_sat_clauses,cdcl_chron_moms_list_sat_clauses
0,2,2,2,3,1,1,21,"[11591, 148, 417]","[11591, 203, 417]","[11591, 159, 418]","[11591, 325, 225, 85, 419]","[11591, 325]","[11591, 325]"
1,0,0,0,0,0,0,21,[12008],[12008],[12008],[12008],[12008],[12008]
2,33,10,9,25,19,19,22,"[10978, 127, 240, 12, 678, 10, 369, 77, 565, 10, 546, 53, 263, 68, 331, 285, 14, 76, 12, 68, 400, 11, 373, 97, 165, 291, 71, 217, 11, 101, 53, 10, 100, 719]","[10978, 49, 260, 37, 204, 91, 395, 322, 518, 69, 253]","[10978, 127, 249, 140, 239, 151, 496, 229, 428, 240, 286, 294, 463, 515, 280, 758]","[10978, 230, 99, 252, 230, 112, 244, 230, 123, 544, 230, 610, 244, 501, 257, 361, 266, 354, 279, 431, 290, 521, 639, 19, 127, 250, 19, 140, 239, 19, 151, 496, 19, 229, 502, 19, 777, 38, 168, 365, 682]","[10978, 230, 99, 252, 13, 244, 11, 544, 351, 14, 501, 13, 361, 9, 354, 13, 431, 11, 521, 454]","[10978, 230, 99, 252, 13, 244, 11, 544, 351, 14, 501, 13, 361, 9, 354, 13, 431, 11, 521, 454]"
3,0,0,0,0,0,0,22,[12009],[12009],[12009],[12009],[12009],[12009]
4,0,0,0,0,0,0,22,[12009],[12009],[12009],[12009],[12009],[12009]
5,1,1,1,3,1,1,22,"[11038, 971]","[11038, 971]","[11038, 971]","[11038, 630, 12, 960]","[11038, 630]","[11038, 630]"
6,0,0,0,0,0,0,22,[12009],[12009],[12009],[12009],[12009],[12009]
7,0,0,0,0,0,0,22,[12009],[12009],[12009],[12009],[12009],[12009]
8,0,0,0,0,0,0,22,[12009],[12009],[12009],[12009],[12009],[12009]
9,11,5,7,7,7,7,22,"[10760, 62, 974, 8, 682, 474, 58, 841, 10, 263, 9, 1172]","[10760, 302, 234, 820, 33, 127]","[10760, 62, 994, 71, 564, 766, 61, 670, 72, 632, 82, 1172]","[10760, 270, 59, 784, 270, 68, 336, 1147, 976, 145, 1253]","[10760, 270, 59, 784, 9, 336, 526, 707]","[10760, 270, 59, 784, 9, 336, 526, 707]"
10,3,15,2,8,11,11,22,"[10403, 548, 183, 1058]","[10403, 122, 61, 442, 128, 273, 91, 291, 195, 755, 286, 99, 627, 137, 110, 936]","[10403, 548, 188, 1607]","[10403, 305, 540, 318, 138, 332, 529, 342, 132, 53, 935, 467, 1144]","[10403, 305, 540, 13, 138, 14, 529, 10, 132, 53, 464, 246]","[10403, 305, 540, 13, 138, 14, 529, 10, 132, 53, 464, 246]"
11,0,0,0,0,0,0,22,[12009],[12009],[12009],[12009],[12009],[12009]
12,1,2,1,2,1,1,22,"[11440, 569]","[11440, 29, 540]","[11440, 569]","[11440, 205, 570]","[11440, 205]","[11440, 205]"
13,7,2,7,1,1,1,22,"[11032, 457, 17, 539, 182, 8, 93, 413]","[11032, 96, 977]","[11032, 466, 18, 539, 15, 18, 548, 164, 18, 962]","[11032, 977]","[11032, 977]","[11032, 977]"
14,8,8,6,7,1,1,22,"[11471, 207, 10, 30, 237, 8, 115, 181, 528]","[11471, 398, 71, 40, 34, 140, 95, 161, 467]","[11471, 214, 11, 30, 309, 11, 39, 166, 541]","[11471, 11, 12, 203, 23, 30, 306, 23, 39, 166, 542]","[11471, 11]","[11471, 11]"
15,20,10,16,19,21,21,22,"[10816, 487, 110, 10, 471, 86, 251, 61, 16, 304, 306, 10, 590, 36, 345, 437, 14, 301, 640, 13, 849]","[10816, 39, 101, 42, 720, 364, 502, 568, 547, 205, 441]","[10816, 487, 113, 498, 515, 585, 243, 314, 20, 304, 596, 20, 315, 668, 20, 352, 625, 584, 34, 968, 52, 300, 559, 52, 314, 837]","[10816, 162, 497, 197, 162, 508, 188, 162, 580, 49, 162, 555, 181, 281, 538, 181, 292, 411, 181, 329, 569, 181, 488, 199, 280, 626, 199, 294, 709]","[10816, 162, 497, 197, 11, 188, 72, 49, 230, 19, 281, 538, 11, 411, 37, 569, 418, 18, 280, 538, 14, 709]","[10816, 162, 497, 197, 11, 188, 72, 49, 230, 19, 281, 538, 11, 411, 37, 569, 418, 18, 280, 538, 14, 709]"
16,0,0,0,0,0,0,22,[12009],[12009],[12009],[12009],[12009],[12009]
17,0,0,0,0,0,0,22,[12009],[12009],[12009],[12009],[12009],[12009]
18,0,0,0,0,0,0,22,[12009],[12009],[12009],[12009],[12009],[12009]
19,0,0,0,0,0,0,22,[12009],[12009],[12009],[12009],[12009],[12009]
20,0,0,0,0,0,0,22,[12009],[12009],[12009],[12009],[12009],[12009]
21,8,4,7,9,1,1,23,"[11498, 239, 9, 360, 11, 32, 59, 181, 401]","[11498, 43, 42, 26, 401]","[11498, 252, 10, 262, 22, 32, 59, 264, 32, 461]","[11498, 323, 29, 319, 39, 234, 50, 32, 59, 237, 50, 32, 434]","[11498, 323]","[11498, 323]"
22,2,1,2,5,3,3,23,"[10903, 292, 815]","[10903, 1107]","[10903, 292, 815]","[10903, 524, 413, 954, 42, 386, 681]","[10903, 524, 413, 418]","[10903, 524, 413, 418]"
23,0,0,0,0,0,0,23,[12010],[12010],[12010],[12010],[12010],[12010]
24,4,2,3,4,1,1,23,"[11475, 373, 8, 166, 527]","[11475, 56, 535]","[11475, 394, 9, 128, 537]","[11475, 293, 53, 19, 62, 34, 538]","[11475, 293]","[11475, 293]"
