,DP_splits,DP_moms_splits,cdcl_splits,cdcl_moms_splits,cdcl_chron_splits,cdcl_chron_moms_splits,sudoku_given_clauses,DP_list_sat_clauses,DP_moms_list_sat_clauses,cdcl_list_sat_clauses,cdcl_moms_list_sat_clauses,cdcl_chron_list_sat_clauses,cdcl_chron_moms_list_sat_clauses
0,0,0,0,0,0,0,6,[65],[65],[67],[67],[67],[67]
1,0,0,0,0,0,0,6,[58],[58],[59],[59],[59],[59]
2,0,0,0,0,0,0,6,[64],[64],[66],[66],[66],[66]
3,0,0,0,0,0,0,4,[65],[65],[67],[67],[67],[67]
4,4,6,3,2,4,2,6,"[231, 2, 9, 33, 141]","[231, 34, 10, 88, 11, 1, 36]","[231, 3, 10, 35, 31]","[231, 37, 44]","[231, 3, 10, 35, 33]","[231, 37, 44]"
5,0,0,0,0,0,0,4,[211],[211],[214],[214],[214],[214]
6,14,6,8,2,12,2,4,"[82, 34, 17, 97, 13, 63, 27, 143, 9, 15, 15, 179, 62, 143, 56]","[82, 65, 12, 138, 11, 85, 207]","[82, 35, 18, 30, 14, 63, 57, 30, 24, 120, 39, 84]","[82, 67, 75]","[82, 35, 18, 30, 14, 63, 57, 16, 25, 73, 64, 39, 37]","[82, 67, 75]"
7,0,0,0,0,0,0,4,[70],[70],[72],[72],[72],[72]
8,0,0,0,0,0,0,6,[60],[60],[62],[62],[62],[62]
9,0,0,0,0,0,0,6,[70],[70],[72],[72],[72],[72]
10,0,0,0,0,0,0,6,[83],[83],[85],[85],[85],[85]
11,0,0,0,0,0,0,6,[61],[61],[63],[63],[63],[63]
12,0,0,0,0,0,0,6,[65],[65],[67],[67],[67],[67]
13,0,0,0,0,0,0,4,[70],[70],[72],[72],[72],[72]
14,2,6,2,2,2,2,4,"[175, 13, 131]","[175, 50, 10, 149, 11, 57, 43]","[175, 14, 17]","[175, 52, 59]","[175, 14, 17]","[175, 52, 59]"
15,0,0,0,0,0,0,6,[65],[65],[67],[67],[67],[67]
16,0,0,0,0,0,0,4,[65],[65],[67],[67],[67],[67]
17,0,0,0,0,0,0,4,[175],[175],[179],[179],[179],[179]
18,0,0,0,0,0,0,6,[69],[69],[71],[71],[71],[71]
19,0,0,0,0,0,0,4,[70],[70],[72],[72],[72],[72]
20,0,0,0,0,0,0,6,[65],[65],[67],[67],[67],[67]
21,0,0,0,0,0,0,4,[60],[60],[62],[62],[62],[62]
22,0,0,0,0,0,0,4,[60],[60],[62],[62],[62],[62]
23,0,0,0,0,0,0,4,[83],[83],[85],[85],[85],[85]
24,0,0,0,0,0,0,4,[83],[83],[84],[84],[84],[84]
25,0,0,0,0,0,0,6,[59],[59],[60],[60],[60],[60]
26,0,0,0,0,0,0,6,[69],[69],[71],[71],[71],[71]
27,0,0,0,0,0,0,6,[69],[69],[71],[71],[71],[71]
28,0,0,0,0,0,0,4,[155],[155],[156],[156],[156],[156]
29,8,8,5,6,8,10,4,"[121, 67, 17, 82, 13, 58, 9, 93, 67]","[121, 70, 10, 133, 11, 141, 70, 28, 78]","[121, 68, 18, 58, 32, 5, 42, 42, 64]","[121, 74, 11, 23, 29, 94, 43, 6, 53, 50, 80]","[121, 68, 18, 58, 14, 5, 10, 42, 41]","[121, 74, 11, 23, 18, 94, 14, 6, 10, 50, 39]"
30,0,0,0,0,0,0,4,[83],[83],[85],[85],[85],[85]
31,0,0,0,0,0,0,4,[57],[57],[58],[58],[58],[58]
32,0,0,0,0,0,0,4,[83],[83],[85],[85],[85],[85]
33,0,0,0,0,0,0,6,[185],[185],[187],[187],[187],[187]
34,0,0,0,0,0,0,6,[65],[65],[67],[67],[67],[67]
35,10,16,6,9,8,10,4,"[112, 63, 15, 135, 9, 58, 17, 222, 64, 31, 65]","[112, 95, 12, 163, 9, 77, 52, 8, 19, 10, 75, 80, 70, 96, 10, 53, 113]","[112, 63, 16, 37, 24, 27, 69, 37, 126]","[112, 96, 13, 61, 16, 13, 56, 28, 93, 38, 63, 67, 36, 127]","[112, 63, 16, 19, 24, 46, 69, 37, 36]","[112, 96, 13, 61, 16, 19, 24, 46, 67, 35, 35]"
36,0,0,0,0,0,0,6,[61],[61],[63],[63],[63],[63]
37,0,0,0,0,0,0,4,[61],[61],[63],[63],[63],[63]
38,0,0,0,0,0,0,4,[64],[64],[66],[66],[66],[66]
39,0,0,0,0,0,0,6,[65],[65],[67],[67],[67],[67]
40,0,0,0,0,0,0,4,[70],[70],[72],[72],[72],[72]
41,0,0,0,0,0,0,4,[200],[200],[205],[205],[205],[205]
42,0,0,0,0,0,0,4,[140],[140],[142],[142],[142],[142]
43,0,0,0,0,0,0,6,[70],[70],[72],[72],[72],[72]
44,0,0,0,0,0,0,4,[61],[61],[63],[63],[63],[63]
45,0,0,0,0,0,0,6,[65],[65],[67],[67],[67],[67]
46,0,0,0,0,0,0,4,[65],[65],[67],[67],[67],[67]
47,0,0,0,0,0,0,4,[60],[60],[62],[62],[62],[62]
48,0,0,0,0,0,0,6,[209],[209],[213],[213],[213],[213]
49,10,16,6,9,8,10,4,"[112, 63, 15, 135, 9, 58, 17, 222, 64, 31, 65]","[112, 95, 12, 163, 9, 77, 52, 8, 19, 10, 75, 80, 70, 96, 10, 53, 113]","[112, 63, 16, 37, 24, 27, 69, 37, 126]","[112, 96, 13, 61, 16, 13, 56, 28, 93, 38, 63, 67, 36, 127]","[112, 63, 16, 19, 24, 46, 69, 37, 36]","[112, 96, 13, 61, 16, 19, 24, 46, 67, 35, 35]"
50,0,0,0,0,0,0,4,[65],[65],[67],[67],[67],[67]
51,0,0,0,0,0,0,4,[61],[61],[63],[63],[63],[63]
52,0,0,0,0,0,0,4,[65],[65],[67],[67],[67],[67]
53,0,0,0,0,0,0,4,[54],[54],[55],[55],[55],[55]
