,DP_splits,DP_moms_splits,cdcl_splits,cdcl_moms_splits,cdcl_chron_splits,cdcl_chron_moms_splits,sudoku_given_clauses,DP_list_sat_clauses,DP_moms_list_sat_clauses,cdcl_list_sat_clauses,cdcl_moms_list_sat_clauses,cdcl_chron_list_sat_clauses,cdcl_chron_moms_list_sat_clauses
0,0,0,0,0,0,0,56,[1056],[1056],[1056],[1056],[1056],[1056]
1,0,0,0,0,0,0,56,[7746],[7746],[7746],[7746],[7746],[7746]
2,0,0,0,0,0,0,59,[10643],[10643],[10644],[10644],[10644],[10644]
3,0,0,0,0,0,0,59,[2586],[2586],[2586],[2586],[2586],[2586]
4,0,0,0,0,0,0,61,[10643],[10643],[10644],[10644],[10644],[10644]
5,0,0,0,0,0,0,62,[2586],[2586],[2586],[2586],[2586],[2586]
6,0,0,0,0,0,0,56,[5068],[5068],[5068],[5068],[5068],[5068]
7,0,0,0,0,0,0,58,[1574],[1574],[1574],[1574],[1574],[1574]
8,0,0,0,0,0,0,53,[3598],[3598],[3598],[3598],[3598],[3598]
9,0,0,0,0,0,0,54,[2586],[2586],[2586],[2586],[2586],[2586]
10,0,0,0,0,0,0,56,[10643],[10643],[10644],[10644],[10644],[10644]
11,0,0,0,0,0,0,62,[10643],[10643],[10644],[10644],[10644],[10644]
12,0,0,0,0,0,0,58,[10643],[10643],[10644],[10644],[10644],[10644]
13,0,0,0,0,0,0,59,[6642],[6642],[6642],[6642],[6642],[6642]
14,0,0,0,0,0,0,55,[8888],[8888],[8889],[8889],[8889],[8889]
15,0,0,0,0,0,0,54,[7746],[7746],[7746],[7746],[7746],[7746]
16,0,0,0,0,0,0,53,[3598],[3598],[3598],[3598],[3598],[3598]
17,0,0,0,0,0,0,66,[2084],[2084],[2084],[2084],[2084],[2084]
18,0,0,0,0,0,0,56,[3598],[3598],[3598],[3598],[3598],[3598]
19,0,0,0,0,0,0,74,[2084],[2084],[2084],[2084],[2084],[2084]
20,0,0,0,0,0,0,55,[10643],[10643],[10644],[10644],[10644],[10644]
21,0,0,0,0,0,0,59,[10643],[10643],[10644],[10644],[10644],[10644]
22,0,0,0,0,0,0,65,[10643],[10643],[10644],[10644],[10644],[10644]
23,0,0,0,0,0,0,70,[2586],[2586],[2586],[2586],[2586],[2586]
24,0,0,0,0,0,0,71,[10643],[10643],[10644],[10644],[10644],[10644]
25,0,0,0,0,0,0,51,[4092],[4092],[4092],[4092],[4092],[4092]
26,0,0,0,0,0,0,75,[3096],[3096],[3096],[3096],[3096],[3096]
27,0,0,0,0,0,0,64,[1056],[1056],[1056],[1056],[1056],[1056]
28,0,0,0,0,0,0,71,[6090],[6090],[6090],[6090],[6090],[6090]
29,0,0,0,0,0,0,58,[1574],[1574],[1574],[1574],[1574],[1574]
30,0,0,0,0,0,0,56,[7746],[7746],[7746],[7746],[7746],[7746]
31,0,0,0,0,0,0,54,[10643],[10643],[10644],[10644],[10644],[10644]
32,0,0,0,0,0,0,61,[10643],[10643],[10644],[10644],[10644],[10644]
33,0,0,0,0,0,0,57,[3096],[3096],[3096],[3096],[3096],[3096]
34,0,0,0,0,0,0,53,[3096],[3096],[3096],[3096],[3096],[3096]
35,0,0,0,0,0,0,60,[3096],[3096],[3096],[3096],[3096],[3096]
36,0,0,0,0,0,0,52,[10388],[10388],[10389],[10389],[10389],[10389]
37,0,0,0,0,0,0,61,[10643],[10643],[10644],[10644],[10644],[10644]
38,0,0,0,0,0,0,56,[10643],[10643],[10644],[10644],[10644],[10644]
39,0,0,0,0,0,0,56,[3096],[3096],[3096],[3096],[3096],[3096]
40,0,0,0,0,0,0,77,[10643],[10643],[10644],[10644],[10644],[10644]
41,0,0,0,0,0,0,76,[10643],[10643],[10644],[10644],[10644],[10644]
42,0,0,0,0,0,0,58,[10643],[10643],[10644],[10644],[10644],[10644]
43,0,0,0,0,0,0,56,[10643],[10643],[10644],[10644],[10644],[10644]
44,0,0,0,0,0,0,59,[2084],[2084],[2084],[2084],[2084],[2084]
45,0,0,0,0,0,0,52,[1056],[1056],[1056],[1056],[1056],[1056]
46,0,0,0,0,0,0,54,[1574],[1574],[1574],[1574],[1574],[1574]
47,0,0,0,0,0,0,63,[1056],[1056],[1056],[1056],[1056],[1056]
48,0,0,0,0,0,0,72,[10643],[10643],[10644],[10644],[10644],[10644]
49,0,0,0,0,0,0,58,[4578],[4578],[4578],[4578],[4578],[4578]
50,0,0,0,0,0,0,59,[2586],[2586],[2586],[2586],[2586],[2586]
51,0,0,0,0,0,0,58,[4578],[4578],[4578],[4578],[4578],[4578]
52,0,0,0,0,0,0,64,[5068],[5068],[5068],[5068],[5068],[5068]
53,0,0,0,0,0,0,57,[4578],[4578],[4578],[4578],[4578],[4578]
54,0,0,0,0,0,0,63,[3598],[3598],[3598],[3598],[3598],[3598]
55,0,0,0,0,0,0,57,[10643],[10643],[10644],[10644],[10644],[10644]
56,0,0,0,0,0,0,61,[7746],[7746],[7746],[7746],[7746],[7746]
57,0,0,0,0,0,0,71,[4578],[4578],[4578],[4578],[4578],[4578]
58,0,0,0,0,0,0,59,[4578],[4578],[4578],[4578],[4578],[4578]
59,0,0,0,0,0,0,70,[10643],[10643],[10644],[10644],[10644],[10644]
60,0,0,0,0,0,0,65,[3096],[3096],[3096],[3096],[3096],[3096]
61,0,0,0,0,0,0,60,[10643],[10643],[10644],[10644],[10644],[10644]
62,0,0,0,0,0,0,63,[2084],[2084],[2084],[2084],[2084],[2084]
