,DP_splits,DP_moms_splits,cdcl_splits,cdcl_moms_splits,cdcl_chron_splits,cdcl_chron_moms_splits,sudoku_given_clauses,DP_list_sat_clauses,DP_moms_list_sat_clauses,cdcl_list_sat_clauses,cdcl_moms_list_sat_clauses,cdcl_chron_list_sat_clauses,cdcl_chron_moms_list_sat_clauses
0,42,71,31,28,1,1,17,"[9940, 160, 267, 130, 151, 119, 158, 77, 178, 376, 293, 208, 180, 546, 14, 137, 103, 132, 215, 362, 80, 197, 64, 61, 266, 149, 204, 64, 142, 386, 112, 11, 151, 359, 283, 854, 66, 530, 193, 208, 401, 244, 1161]","[9940, 287, 93, 36, 103, 61, 446, 200, 200, 471, 41, 40, 284, 504, 68, 269, 184, 198, 245, 128, 476, 215, 609, 416, 281, 109, 488, 89, 486, 217, 101, 268, 396, 523, 216, 59, 81, 396, 105, 506, 94, 194, 227, 327, 485, 284, 110, 51, 224, 103, 67, 148, 229, 233, 294, 342, 341, 1492, 423, 36, 105, 400, 349, 51, 105, 170, 83, 221, 89, 107, 147, 467]","[9940, 160, 272, 431, 114, 483, 431, 290, 91, 431, 341, 602, 61, 1106, 325, 103, 278, 273, 339, 103, 466, 202, 339, 103, 479, 101, 339, 103, 540, 339, 117, 104, 254, 78, 339, 117, 104, 259, 339, 117, 284, 339, 577, 186, 2078]","[9940, 38, 20, 160, 271, 315, 136, 114, 464, 315, 136, 264, 315, 304, 47, 328, 352, 344, 103, 276, 271, 358, 103, 418, 358, 115, 104, 235, 67, 358, 115, 104, 228, 358, 115, 191, 630, 284, 231, 2076]","[9940, 38, [...]]","[9940, 38, [...]]"
1,4,17,4,6,1,1,17,"[10202, 128, 70, 197, 1407]","[10202, 612, 289, 56, 73, 147, 64, 130, 283, 298, 790, 64, 183, 671, 297, 45, 72, 970]","[10202, 128, 70, 197, 1407]","[10202, 858, 16, 128, 70, 197, 1392]","[10202, 858, [...]]","[10202, 858, [...]]"
2,24,4,24,28,2,2,17,"[9683, 83, 13, 102, 791, 106, 468, 115, 261, 11, 157, 11, 113, 68, 372, 354, 12, 282, 11, 148, 195, 13, 171, 12, 1449]","[9683, 53, 689, 477, 1632]","[9683, 88, 116, 63, 223, 468, 115, 565, 223, 468, 127, 21, 223, 468, 139, 113, 307, 223, 468, 139, 259, 223, 481, 369, 223, 496, 159, 223, 508, 34, 223, 520, 1587]","[9683, 397, 84, 460, 63, 564, 500, 140, 564, 512, 39, 564, 525, 129, 564, 1608, 64, 44, 72, 251, 468, 115, 562, 251, 468, 127, 21, 251, 468, 139, 113, 266, 251, 481, 274, 251, 629, 505, 251, 639, 1444]","[9683, 397, 84, [...]]","[9683, 397, 84, [...]]"
3,10,4,10,19,2,2,17,"[9696, 71, 12, 102, 773, 78, 418, 619, 77, 230, 1391]","[9696, 42, 610, 449, 1698]","[9696, 76, 115, 52, 194, 418, 137, 194, 428, 36, 194, 497, 230, 1391]","[9696, 305, 76, 420, 52, 498, 408, 133, 498, 417, 19, 498, 485, 216, 881, 498, 485, 227, 63, 498, 496, 103, 498, 951, 53, 220, 770, 1327]","[9696, 305, 76, [...]]","[9696, 305, 76, [...]]"
4,58,4,2,2,1,1,17,"[9848, 737, 16, 270, 1356, 327, 147, 8, 791, 92, 59, 103, 84, 442, 664, 425, 13, 121, 308, 191, 488, 308, 252, 105, 429, 552, 112, 531, 343, 539, 13, 903, 16, 50, 445, 106, 149, 12, 245, 149, 578, 11, 185, 61, 105, 58, 263, 10, 261, 61, 211, 61, 432, 101, 82, 336, 288, 196, 815]","[9848, 95, 85, 461, 1976]","[9848, 743, 2157]","[9848, 592, 2157]","[9848, 592, [...]]","[9848, 592, [...]]"
5,87,14,36,34,1,1,17,"[9735, 193, 163, 103, 12, 168, 1148, 933, 1499, 14, 136, 237, 403, 605, 12, 347, 1034, 1123, 321, 149, 454, 12, 172, 215, 205, 127, 12, 276, 432, 215, 372, 12, 255, 414, 15, 211, 165, 111, 12, 131, 200, 511, 194, 998, 368, 14, 137, 236, 576, 10, 294, 783, 12, 311, 796, 627, 277, 866, 913, 12, 902, 217, 211, 63, 99, 12, 204, 936, 15, 227, 162, 27, 12, 1142, 166, 800, 1086, 14, 135, 234, 657, 561, 12, 256, 44, 688, 248, 1603]","[9735, 31, 670, 55, 447, 42, 819, 645, 92, 73, 28, 210, 288, 72, 809]","[9735, 193, 163, 104, 193, 176, 168, 1162, 193, 1210, 210, 136, 237, 404, 210, 136, 723, 225, 135, 347, 889, 225, 135, 760, 225, 458, 37, 225, 926, 241, 171, 75, 254, 367, 955, 720, 176, 95, 734, 175, 78, 321, 734, 186, 252, 301, 734, 264, 751, 222, 201, 1111]","[9735, 420, 671, 977, 682, 178, 138, 570, 682, 178, 264, 696, 177, 110, 696, 192, 79, 218, 322, 696, 192, 79, 248, 567, 696, 192, 79, 423, 696, 206, 78, 334, 696, 217, 253, 310, 696, 229, 716, 226, 96, 830, 202, 214, 1001, 169, 1112]","[9735, 420, [...]]","[9735, 420, [...]]"
6,19,11,20,102,4,4,17,"[9660, 193, 163, 102, 12, 713, 170, 1074, 326, 14, 137, 238, 964, 218, 12, 292, 164, 131, 324, 1664]","[9660, 47, 659, 443, 42, 389, 516, 245, 299, 306, 138, 936]","[9660, 193, 163, 103, 193, 176, 820, 193, 347, 216, 193, 1170, 210, 137, 239, 250, 210, 137, 643, 210, 151, 293, 160, 210, 151, 767, 210, 478, 1664]","[9660, 365, 188, 161, 143, 365, 188, 174, 849, 365, 188, 295, 177, 365, 188, 999, 365, 206, 134, 130, 365, 206, 147, 118, 365, 206, 417, 201, 383, 206, 382, 401, 206, 356, 401, 221, 192, 531, 401, 221, 205, 96, 401, 221, 394, 401, 365, 269, 166, 401, 365, 713, 401, 273, 428, 201, 161, 76, 428, 201, 174, 885, 428, 201, 294, 213, 428, 201, 754, 428, 219, 134, 95, 428, 219, 147, 194, 428, 219, 347, 375, 446, 217, 845, 446, 232, 282, 446, 373, 624, 446, 770, 468, 144, 748, 485, 143, 139, 348, 577, 485, 143, 139, 898, 485, 1195, 499, 160, 467, 499, 955, 514, 555, 532, 199, 562, 532, 528, 681, 721, 803, 87, 193, 778, 105, 192, 139, 238, 223, 105, 192, 139, 638, 192, 153, 286, 139, 105, 192, 153, 737, 192, 530, 1559]","[9660, 365, 188, 161, 143, [...]]","[9660, 365, 188, 161, 143, [...]]"
7,10,4,7,8,2,2,17,"[9592, 84, 877, 188, 383, 62, 14, 125, 48, 294, 483]","[9592, 84, 877, 571, 964]","[9592, 86, 1449, 43, 1464, 125, 48, 294, 483]","[9592, 195, 85, 1595, 1460, 43, 1475, 124, 48, 400, 368]","[9592, 195, 85, [...]]","[9592, 195, 85, [...]]"
8,19,14,20,106,4,4,17,"[9661, 224, 163, 100, 12, 655, 170, 981, 344, 14, 137, 238, 894, 218, 12, 292, 164, 126, 324, 1632]","[9661, 47, 632, 738, 614, 42, 556, 645, 92, 57, 142, 171, 288, 159, 809]","[9661, 224, 163, 101, 224, 176, 1041, 224, 347, 214, 224, 1136, 241, 137, 239, 250, 241, 137, 701, 241, 151, 293, 160, 241, 151, 784, 241, 478, 1632]","[9661, 329, 195, 161, 143, 329, 195, 174, 583, 329, 195, 295, 176, 329, 195, 896, 329, 213, 134, 130, 329, 213, 147, 118, 329, 213, 417, 295, 347, 213, 394, 347, 228, 194, 567, 347, 228, 609, 347, 370, 323, 165, 347, 370, 839, 347, 384, 409, 347, 1001, 373, 938, 389, 144, 167, 90, 389, 144, 180, 134, 166, 389, 144, 734, 407, 143, 139, 370, 616, 407, 143, 139, 383, 386, 418, 143, 138, 1037, 65, 435, 143, 138, 1039, 435, 143, 151, 228, 435, 143, 1062, 435, 158, 184, 1170, 435, 158, 198, 85, 435, 172, 893, 435, 358, 454, 159, 735, 454, 173, 92, 454, 187, 68, 454, 312, 187, 471, 1028, 488, 203, 617, 1034, 97, 223, 1067, 115, 222, 137, 238, 224, 115, 222, 137, 706, 115, 222, 151, 286, 155, 115, 222, 151, 746, 115, 222, 468, 1578]","[9661, 329, 195, 161, 143, [...]]","[9661, 329, 195, 161, 143, [...]]"
9,19,8,20,66,4,4,17,"[9757, 226, 163, 101, 12, 926, 167, 886, 1051, 14, 136, 235, 390, 275, 12, 285, 195, 296, 276, 1583]","[9757, 46, 665, 173, 766, 603, 513, 459, 1069]","[9757, 226, 163, 102, 226, 176, 946, 226, 344, 263, 226, 780, 244, 136, 235, 222, 244, 136, 644, 244, 150, 285, 141, 244, 150, 744, 244, 428, 1583]","[9757, 378, 420, 153, 554, 378, 420, 248, 209, 394, 419, 520, 411, 418, 73, 543, 600, 429, 67, 79, 600, 440, 67, 140, 600, 664, 200, 600, 1241, 619, 168, 70, 790, 619, 181, 70, 131, 619, 584, 860, 168, 875, 614, 192, 892, 600, 904, 563, 918, 122, 45, 918, 471, 931, 430, 1175, 25, 686, 76, 225, 163, 603, 93, 224, 160, 1078, 93, 224, 327, 887, 93, 224, 1070, 93, 241, 120, 234, 200, 93, 241, 120, 638, 93, 241, 134, 280, 124, 93, 241, 134, 711, 241, 461, 1480]","[9757, 378, 420, 153, 554, [...]]","[9757, 378, 420, 153, 554, [...]]"
